Y,ID,Supervisor,Date,Priority,Price,Speed,Duration,Temp,Location,Agreed,State,Class,Surface,survey1,survey2,survey3,survey4,survey5,survey6,survey7,survey8,survey9,survey10,survey11,survey12,survey13,survey14,survey15,survey16,survey17,survey18,survey19,survey20,survey21,survey22,survey23,survey24,survey25,survey26,survey27,survey28,survey29,survey30
8.220382004,G9939,NG,6/01/2017,Low,Cheap,Slow,Long,Hot,Steam plant,Yes,Checked,Plastic,Rough,7.426043798,7.524646416,4.726602104,8.048238123,10.94045066,4.782403682,-6.096473293,4.12670673,3.502211906,7.799376373,201.640784,180.9109432,182.7165439,210.4432485,189.6741257,193.1715505,201.1955487,214.924527,193.834801,182.4701061,34.58599884,44.48584303,24.73648892,36.14458475,32.94421349,25.57353733,40.9011559,41.28063696,10.30510958,27.91051537
22.05410439,G9940,NG,14/01/2017,Low,Cheap,Fast,Long,Hot,Control room,No,Uncertain,Wooden,Rough,34.68698159,29.59937455,27.16356994,11.84706588,20.91292322,21.48238838,19.50150496,25.38420072,22.09478551,24.78542055,116.0205358,130.0626967,118.1747466,126.6278252,131.5248947,122.5358549,131.1391781,132.0338163,131.5250292,133.0987785,37.38764164,46.09655307,54.80470086,34.55734568,31.2112222,54.71364296,24.48310932,41.22183152,44.1065927,34.02536219
28.70170786,G9941,NH,21/01/2017,High,Extravagant,Fast,Long,Warm,Steam plant,Yes,Uncertain,Ceramic,Rough,20.35376771,16.26308961,14.35075268,15.61703293,9.743413195,21.6646124,14.98931913,7.772864474,11.59031357,17.9411958,193.0781263,199.8511137,183.1313948,193.6651937,198.5488686,189.8511141,187.9131702,193.9774812,196.0363361,201.3485852,38.58756774,42.15407121,41.98132058,40.31710004,42.63064571,37.70425174,36.27168296,31.48580128,40.89226593,45.68863943
20.81839463,G9942,NH,27/01/2017,Medium,Costly,Medium,Short,Warm,Steam plant,No,Uncertain,Ceramic,Rough,15.28193231,24.16232376,20.13841024,16.95614782,16.68791344,12.89873872,21.68678571,14.54082945,23.37884581,14.53920906,162.9818358,158.8130478,156.031614,152.9015532,154.0435237,160.3853285,165.1439666,159.9143801,177.9922673,163.639889,62.78853839,62.30680389,41.42472075,56.65099909,66.07646816,43.56878292,38.17742123,57.05278845,51.05529712,55.59743284
6.494129811,G9943,NH,3/02/2017,Low,Extravagant,Fast,Very Long,Hot,Steam plant,No,Under review,Wooden,Textured,6.486933668,8.879599275,14.37673327,9.458503799,14.86411587,-0.459950315,12.62405448,12.90160437,9.600540305,5.317192643,138.3491275,111.4501381,142.9448156,131.3330337,122.2309018,110.8848742,121.1613643,126.8668473,125.5499872,114.7782194,44.05823475,39.4257103,36.69046084,31.62814917,35.55732475,23.00257628,34.58678473,49.64080149,6.730347215,27.28580186
11.86691911,G9944,NG,11/02/2017,Medium,Extravagant,Fast,Short,Warm,Steam plant,Yes,Checked,Wooden,Rough,11.37845141,-0.863219305,3.359041974,7.471820544,4.325481194,0.897304375,4.170677232,4.038432596,5.545838191,2.160910973,116.1742823,103.2649886,120.4463834,92.42583899,97.01204649,106.9097413,100.9420994,102.8492334,92.27896801,117.8045576,66.46313563,73.22612359,59.21891158,73.45384506,70.78579519,65.23050251,84.63266321,62.29876545,68.39221074,64.47337987
20.24666123,G9945,NG,17/02/2017,High,Cheap,Medium,Long,Warm,Steam plant,Yes,Under review,Ceramic,Rough,5.918455883,-0.797891968,5.532520449,5.659048379,13.04425136,6.778077665,9.878960551,3.231355973,4.389242874,5.332974398,86.66667494,98.55022336,82.64765588,111.7115294,98.74939853,106.3464108,104.3231206,105.7260089,106.8031945,99.4177941,59.80598889,50.82510624,55.27967558,56.59068324,38.84883124,55.64786599,33.13318884,36.13845796,47.38299988,65.7938126
6.049090153,G9946,NG,25/02/2017,Low,Extravagant,Fast,Short,Warm,Control room,Yes,NA,Metal,Rough,-2.491196944,2.590778312,3.646115518,6.65873087,-3.445152247,8.141626971,4.018932175,7.258197033,3.731916282,-0.054239173,178.3969459,172.7592866,167.6502384,180.7743727,168.7528997,166.6455889,150.8518353,168.6737046,169.3940467,181.9464448,64.12772067,67.41565779,NA,61.85464504,NA,NA,75.65690548,52.1798801,73.11015392,NA
7.887762824,G9947,NG,3/03/2017,Medium,Costly,Slow,Short,Cold,Steam plant,No,Checked,Wooden,Textured,9.399558587,16.33903732,16.72259008,6.54940608,21.02488532,10.06512668,24.59137229,13.20467427,21.67760797,8.772103021,138.389933,150.0283991,163.35056,165.5245729,154.2504697,129.4764681,160.7066881,152.6737286,153.9427455,155.1366611,53.4617438,60.49430267,69.40021384,61.99493591,65.14539633,50.33410742,63.06399181,48.29637388,74.73296669,49.1539408
27.29950145,G9948,NH,10/03/2017,High,Extravagant,Fast,Long,Cold,Storage tanks,No,Under review,Metal,Textured,31.57694082,35.11458192,21.20054252,40.93247494,34.27789162,50.75090913,41.05728252,32.16405498,35.61478688,32.16220643,112.7765471,107.5708422,119.2867962,123.5306528,111.5265954,110.3141877,101.8357595,114.4721339,109.5323995,114.1840969,46.4364419,40.9655937,42.42212673,35.96881025,43.19349084,46.3449446,38.34923327,59.31222961,42.08124323,50.63103393
